Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
1,-61.6165,-12.2818,0.0047,0.7,0.09,3.9225,14.09,14.09,14.2775,14.2775
2,-62.2351,-12.2862,0.0116,0.7,0.075,4.055,14.09,14.09,14.2775,14.2775
3,-62.313,-12.3143,0.0183,0.7,0.13125,4.085,14.09,14.09,14.2775,14.2775
4,-62.5809,-12.2425,0.0251,0.7,0.19125,3.9925,14.09,14.09,14.2775,14.2775
5,-63.3393,-12.2802,0.0318,0.7,0.0525,3.9475,14.09,14.09,14.2775,14.2775
6,-63.2885,-12.1732,0.0386,0.7,0.12,4.0325,14.09,14.09,14.2775,14.2775
7,-63.695,-12.175,0.0452,0.7,0.075,3.9525,14.09,14.09,14.2775,14.2775
8,-63.6198,-12.1895,0.0517,0.7,0.09375,4.005,14.09,14.09,14.2775,14.2775
9,-64.2124,-12.1429,0.0581,0.7,0.08625,4.02,14.09,14.09,14.2775,14.2775
10,-64.3139,-12.0735,0.0646,0.7,0.07875,3.95,14.09,14.09,14.2775,14.2775
11,-64.7417,-11.923,0.071,0.7,0.16125,4.0975,14.09,14.09,14.2775,14.2775
12,-64.5261,-11.9625,0.0774,0.7,0.1125,4.0625,14.09,14.09,14.2775,14.2775
13,-64.3285,-11.8849,0.0837,0.7,0.12,4.01,14.09,14.09,14.2775,14.2775
14,-64.8574,-11.8237,0.0899,0.7,0.1425,3.9475,14.09,14.09,14.2775,14.2775
15,-64.9663,-11.7593,0.096,0.7,0.15375,4.035,14.09,14.09,14.2775,14.2775
16,-64.5974,-11.589,0.1023,0.7,0.15,4.015,14.09,14.09,14.2775,14.2775
17,-65.2406,-11.4906,0.1084,0.7,0.25875,3.94,14.09,14.09,14.2775,14.2775
18,-64.7571,-11.3052,0.1143,0.7,0.315,4.03,14.09,14.09,14.2775,14.2775
19,-65.1382,-11.2841,0.1202,0.7,0.31125,4.0725,14.09,14.09,14.2775,14.2775
20,-64.5917,-11.1989,0.1261,0.7,0.5025,3.9425,14.09,14.09,14.2775,14.2775
21,-64.6133,-11.1249,0.132,0.7,0.3525,3.9975,14.09,14.09,14.2775,14.2775
22,-64.8743,-11.0269,0.1378,0.7,0.52125,3.985,14.09,14.09,14.2775,14.2775
23,-64.5071,-11.0677,0.1434,0.7,0.4875,4.0075,14.09,14.09,14.2775,14.2775
24,-64.4354,-10.9152,0.1492,0.7,0.57375,3.9825,14.09,14.09,14.2775,14.2775
25,-64.0752,-10.886,0.1548,0.7,0.56625,3.9825,14.09,14.09,14.2775,14.2775
26,-64.3585,-10.8279,0.1603,0.7,0.345,3.8275,14.09,14.09,14.2775,14.2775
27,-63.9308,-10.7091,0.1657,0.7,0.6075,4.0275,14.09,14.09,14.2775,14.2775
28,-63.8334,-10.5984,0.1712,0.7,0.6825,3.94,14.09,14.09,14.2775,14.2775
29,-63.8566,-10.4896,0.1766,0.7,0.65625,3.9675,14.09,14.09,14.2775,14.2775
30,-63.6734,-10.6202,0.1819,0.7,0.61125,3.9575,14.09,14.09,14.2775,14.2775
31,-63.7126,-10.6636,0.1872,0.7,0.495,3.9975,14.09,14.09,14.2775,14.2775
32,-64.1701,-10.7447,0.1924,0.7,0.61875,4.035,14.09,14.09,14.2775,14.2775
33,-64.4544,-11.0174,0.1975,0.7,0.405,4.0575,14.09,14.09,14.2775,14.2775
34,-64.1673,-11.0898,0.2027,0.7,0.465,4.07,14.09,14.09,14.2775,14.2775
35,-65.1442,-11.1469,0.2079,0.7,0.34875,4.0,14.09,14.09,14.2775,14.2775
36,-64.3526,-11.232,0.2128,0.7,0.405,4.0375,14.09,14.09,14.2775,14.2775
37,-64.6705,-11.444,0.2176,0.7,0.2925,4.045,14.09,14.09,14.2775,14.2775
38,-65.0798,-11.4708,0.2226,0.7,0.135,3.9675,14.09,14.09,14.2775,14.2775
39,-65.1958,-11.3894,0.2275,0.7,0.27375,4.0,14.09,14.09,14.2775,14.2775
40,-64.6521,-11.3792,0.2322,0.7,0.27375,4.11,14.09,14.09,14.2775,14.2775
41,-65.3155,-11.2503,0.2368,0.7,0.28125,3.9325,14.09,14.09,14.2775,14.2775
42,-64.7482,-11.2319,0.2413,0.7,0.4425,4.08,14.09,14.09,14.2775,14.2775
43,-64.9426,-11.2454,0.246,0.7,0.5325,4.015,14.09,14.09,14.2775,14.2775
44,-65.2916,-11.2693,0.2506,0.7,0.24,4.0375,14.09,14.09,14.2775,14.2775
45,-64.968,-11.1353,0.2552,0.7,0.45375,3.9325,14.09,14.09,14.2775,14.2775
46,-65.0154,-11.008,0.2597,0.7,0.42375,4.0025,14.09,14.09,14.2775,14.2775
47,-64.1621,-10.889,0.264,0.7,0.42,4.01,14.09,14.09,14.2775,14.2775
48,-63.8372,-10.8437,0.2684,0.7,0.49125,3.9775,14.09,14.09,14.2775,14.2775
49,-63.7695,-10.7331,0.2727,0.7,0.44625,4.0325,14.09,14.09,14.2775,14.2775
50,-63.604,-10.5956,0.2769,0.7,0.50625,3.9925,14.09,14.09,14.2775,14.2775
51,-62.3828,-10.4039,0.2811,0.7,0.94125,3.96,14.09,14.09,14.2775,14.2775
52,-61.4351,-10.3955,0.2853,0.7,1.3875,3.9425,14.09,14.09,14.2775,14.2775
53,-60.8632,-10.1727,0.2894,0.7,3.13875,4.02,14.09,14.09,14.2775,14.2775
54,-58.4287,-10.1911,0.2934,0.7,3.5625,4.06,14.09,14.09,14.2775,14.2775
55,-57.1641,-10.4495,0.2973,0.7,2.895,4.0725,14.09,14.09,14.2775,14.2775
56,-56.9199,-10.5302,0.3014,0.7,2.6175,4.0725,14.09,14.09,14.2775,14.2775
57,-54.2944,-10.8882,0.3051,0.7,1.9275,3.985,14.09,14.09,14.2775,14.2775
58,-54.1654,-11.322,0.3087,0.7,1.60875,3.9275,14.09,14.09,14.2775,14.2775
59,-53.7771,-11.3987,0.3126,0.7,1.3125,4.0525,14.09,14.09,14.2775,14.2775
60,-56.1384,-11.4483,0.3165,0.7,1.35,3.99,14.09,14.09,14.2775,14.2775
61,-56.4797,-11.6613,0.3203,0.7,1.01625,3.9225,14.09,14.09,14.2775,14.2775
62,-56.7264,-11.7592,0.3241,0.7,0.8325,3.9225,14.09,14.09,14.2775,14.2775
63,-58.1433,-12.0335,0.3278,0.7,0.525,3.9325,14.09,14.09,14.2775,14.2775
64,-58.6637,-12.0604,0.3314,0.7,0.30375,3.9375,14.09,14.09,14.2775,14.2775
65,-59.0763,-11.9969,0.3353,0.7,0.41625,3.9775,14.09,14.09,14.2775,14.2775
66,-60.3161,-12.1724,0.3389,0.7,0.255,3.945,14.09,14.09,14.2775,14.2775
67,-61.6392,-12.2267,0.3426,0.7,0.1875,3.99,14.09,14.09,14.2775,14.2775
68,-61.8348,-12.2763,0.3462,0.7,0.1275,4.0575,14.09,14.09,14.2775,14.2775
69,-62.0733,-12.2684,0.3497,0.7,0.08625,3.9775,14.09,14.09,14.2775,14.2775
70,-62.4207,-12.1878,0.3532,0.7,0.19875,3.965,14.09,14.09,14.2775,14.2775
